,Labels,XBRLID_predicted
13845,return after taxes on distributions and sale of fund shares franklin liberty systematic style premia etf average annual return,rr_AverageAnnualReturnLabel
13846,ubs financial services inc ira rma program,rr_MaximumAccountFee
13847,ubs liquid assets government fund one year expense example,rr_ExpenseExampleYear01
13848,ubs liquid assets government fund three years expense example,rr_ExpenseExampleYear03
13849,ubs liquid assets government fund five years expense example,rr_ExpenseExampleYear05
13850,ubs liquid assets government fund ten years expense example,rr_ExpenseExampleYear10
13851,ubs financial services inc rma program,rr_MaximumAccountFee
13852,fund invests securities underlying master fund government master fund table reflects direct expenses of fund and share of expenses of government master fund including management fees allocated government master fund management fees comprised of investment advisory and administration fees,rr_ExpensesRepresentBothMasterAndFeeder
13853,ubs rma government money market fund one year expense example,rr_ExpenseExampleYear01
13854,ubs rma government money market fund three years expense example,rr_ExpenseExampleYear03
13855,ubs rma government money market fund five years expense example,rr_ExpenseExampleYear05
13856,ubs rma government money market fund ten years expense example,rr_ExpenseExampleYear10
13857,life of fund inception date average annual return,rr_AverageAnnualReturnInceptionDate
13858,fund invests securities underlying master fund prime master fund table reflects direct expenses of fund and share of expenses of prime master fund including management fees allocated prime master fund management fees comprised of investment advisory and administration fees,rr_ExpensesRepresentBothMasterAndFeeder
13859,ubs select prime institutional fund one year expense example,rr_ExpenseExampleYear01
13860,ubs select prime institutional fund three years expense example,rr_ExpenseExampleYear03
13861,ubs select prime institutional fund five years expense example,rr_ExpenseExampleYear05
13862,ubs select prime institutional fund ten years expense example,rr_ExpenseExampleYear10
13863,ubs select government institutional fund one year expense example,rr_ExpenseExampleYear01
13864,ubs select government institutional fund three years expense example,rr_ExpenseExampleYear03
13865,ubs select government institutional fund five years expense example,rr_ExpenseExampleYear05
13866,ubs select government institutional fund ten years expense example,rr_ExpenseExampleYear10
13867,fund invests securities underlying master fund treasury master fund table reflects direct expenses of fund and share of expenses of treasury master fund including management fees allocated treasury master fund management fees comprised of investment advisory and administration fees,rr_ExpensesRepresentBothMasterAndFeeder
13868,ubs select treasury institutional fund one year expense example,rr_ExpenseExampleYear01
13869,ubs select treasury institutional fund three years expense example,rr_ExpenseExampleYear03
13870,ubs select treasury institutional fund five years expense example,rr_ExpenseExampleYear05
13871,ubs select treasury institutional fund ten years expense example,rr_ExpenseExampleYear10
13872,fund invests securities underlying master fund esg prime master fund table reflects direct expenses of fund and share of expenses of esg prime master fund including management fees allocated esg prime master fund management fees comprised of investment advisory and administration fees,rr_ExpensesRepresentBothMasterAndFeeder
13873,ubs select esg prime institutional fund one year expense example,rr_ExpenseExampleYear01
13874,ubs select esg prime institutional fund three years expense example,rr_ExpenseExampleYear03
13875,ubs select esg prime institutional fund five years expense example,rr_ExpenseExampleYear05
13876,ubs select esg prime institutional fund ten years expense example,rr_ExpenseExampleYear10
13877,ubs select prime preferred fund one year expense example,rr_ExpenseExampleYear01
13878,ubs select prime preferred fund three years expense example,rr_ExpenseExampleYear03
13879,ubs select prime preferred fund five years expense example,rr_ExpenseExampleYear05
13880,ubs select prime preferred fund ten years expense example,rr_ExpenseExampleYear10
13881,ubs select government preferred fund one year expense example,rr_ExpenseExampleYear01
13882,ubs select government preferred fund three years expense example,rr_ExpenseExampleYear03
13883,ubs select government preferred fund five years expense example,rr_ExpenseExampleYear05
13884,ubs select government preferred fund ten years expense example,rr_ExpenseExampleYear10
13885,ubs select treasury preferred fund one year expense example,rr_ExpenseExampleYear01
13886,ubs select treasury preferred fund three years expense example,rr_ExpenseExampleYear03
13887,ubs select treasury preferred fund five years expense example,rr_ExpenseExampleYear05
13888,ubs select treasury preferred fund ten years expense example,rr_ExpenseExampleYear10
13889,ubs select esg prime preferred fund one year expense example,rr_ExpenseExampleYear01
13890,ubs select esg prime preferred fund three years expense example,rr_ExpenseExampleYear03
13891,ubs select esg prime preferred fund five years expense example,rr_ExpenseExampleYear05
13892,ubs select esg prime preferred fund ten years expense example,rr_ExpenseExampleYear10
13893,ubs select prime investor fund one year expense example,rr_ExpenseExampleYear01
13894,ubs select prime investor fund three years expense example,rr_ExpenseExampleYear03
13895,ubs select prime investor fund five years expense example,rr_ExpenseExampleYear05
13896,ubs select prime investor fund ten years expense example,rr_ExpenseExampleYear10
13897,ubs select government investor fund one year expense example,rr_ExpenseExampleYear01
13898,ubs select government investor fund three years expense example,rr_ExpenseExampleYear03
13899,ubs select government investor fund five years expense example,rr_ExpenseExampleYear05
13900,ubs select government investor fund ten years expense example,rr_ExpenseExampleYear10
13901,ubs select treasury investor fund one year expense example,rr_ExpenseExampleYear01
13902,ubs select treasury investor fund three years expense example,rr_ExpenseExampleYear03
13903,ubs select treasury investor fund five years expense example,rr_ExpenseExampleYear05
13904,ubs select treasury investor fund ten years expense example,rr_ExpenseExampleYear10
13905,ubs select esg prime investor fund one year expense example,rr_ExpenseExampleYear01
